	寒山落木　卷一
明治十八年ヨリ同二十五年マデ	寒山落木　卷一
第一期	寒山落木　卷一
明治十八年夏郷里松山ニ歸ル○嚴嶋ニ遊ビ祭禮ヲ觀ル○九月上京	寒山落木　卷一
仝十九年夏久松定靖公ニ扈從シテ日光伊香保ニ行ク○九月歸京	寒山落木　卷一
仝廿年春腸胃ヲ病ム上野ヲ散歩ス○夏歸省○九月上京	寒山落木　卷一
仝廿一年夏牛嶋月香樓ニ居ル○九月歸京常盤會寄宿舍ニ入ル	寒山落木　卷一
仝廿二年四月水戸ニ遊ブ徃復一週間○五月咯血七月歸省九月上京不忍池畔ニ居ル後再ビ常盤會寄宿舍ニ入ル十二月歸郷	寒山落木　卷一
仝廿三年一月上京七月歸郷九月三井寺觀音堂前考槃亭ニ居ルコト七日直チニ上京	寒山落木　卷一
仝廿四年春房總行脚十日○六月木曾ヲ經テ歸郷九月上京途中岡山寒懸ニ遊ブ○秋大宮ニ居ルコト十日冬駒籠ニ居ヲ遷ス○川越地方ニ遊ブコト三日	寒山落木　卷一
明治廿五年一月燈火十二ケ月ヲ作ル其後何十二ケ月ト稱スル者ヲ作ルコト絶エズ春根岸ニ遷ル夏歸省ス九月上京十一月家族迎ヘノタメ神戸ニ行ク京都ヲ見物シテ上京○此年夏ヨリ日本紙上ニ投稿十二月ヨリ入社	寒山落木　卷一
明治十八年	寒山落木　卷一
梅のさく門は茶屋なりよきやすみ	寒山落木　卷一
夕立やはちすを笠にかぶり行く	寒山落木　卷一
ねころんて書よむ人や春の草	寒山落木　卷一
小娘の團扇つかふや青すだれ	寒山落木　卷一
をつみて夜の明やすき小窓かな	寒山落木　卷一
朝霧の中に九段のともし哉	寒山落木　卷一
初雪やかくれおほせぬ馬の糞	寒山落木　卷一
明治十九年	寒山落木　卷一
一重づゝ一重つゝ散れ八重櫻	寒山落木　卷一
明治二十年	寒山落木　卷一
ちる花にもつるゝ鳥の翼かな	寒山落木　卷一
春雨や柳の絲もまじるらん	寒山落木　卷一
散る花のうしろに動く風見哉	寒山落木　卷一
鶯や木魚にまじる寛永寺	寒山落木　卷一
胡蝶飛ぶ簾のうちの人もなし	寒山落木　卷一
【谷中にある清水うしの墓にもうでゝ】	寒山落木　卷一
一枝やたましひかへす梅の花	寒山落木　卷一
【同學生よりあひて人の目的を投票にて定めける時】	寒山落木　卷一
それ／＼に名のつく菊の芽生哉	寒山落木　卷一
